投稿ID,アカウントID,アカウントのユーザーネーム,アカウント名,説明,時間(秒),公開時間,リンク,投稿タイプ,データコメント,日時,ビュー,リーチ,いいね！の数,シェア数,フォロー数,コメント数,保存数
18395364085120738,17841478326496503,eggrypto_official,エグリプト公式,"エグリプトのキャラクターをご紹介！ 
モチーフを知ると、もっとキャラが好きになるかも？✨

- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

👼 【天使】

ガブリエル＆シロマドー ：「大天使ガブリエル」
ラファエル・翠翼 ：「大天使ラファエル」✨

- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

みんなの「推し」はいましたか？ ぜひコメントで教えてください！

#エグリプト #EGGRYPTO #NFTゲーム #NFTGame #ブロックチェーンゲーム #エグリプト好きと繋がりたい #キャラデザ #豆知識 #童話シリーズ #天使シリーズ #神話シリーズ #ダークアリス #赤ずきん #ガブリエル #ラファエル #ヘスティア #タケミカヅチ #不思議の国のアリス #ギリシャ神話 #日本神話 #大天使",0,"11/11/2025 19:49",https://www.instagram.com/p/DQ8SEi2j_6l/,Instagram画像,,通算,5105,4880,42,6,4,0,39
18095500597855687,17841478326496503,eggrypto_official,エグリプト公式,"エグリプトのキャラクターをご紹介！ 
モチーフを知ると、もっとキャラが好きになるかも？✨

- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

📖 【童話】

ダークアリス ：『不思議の国のアリス』の主人公アリス
赤ずきん＆ウルフレア ：『赤ずきん』の少女と狼 🐺

- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

みんなの「推し」はいましたか？ ぜひコメントで教えてください！

#エグリプト #EGGRYPTO #NFTゲーム #NFTGame #ブロックチェーンゲーム #エグリプト好きと繋がりたい #キャラデザ #豆知識 #童話シリーズ #天使シリーズ #神話シリーズ #ダークアリス #赤ずきん #ガブリエル #ラファエル #ヘスティア #タケミカヅチ #不思議の国のアリス #ギリシャ神話 #日本神話 #大天使",0,"11/11/2025 19:49",https://www.instagram.com/p/DQ8SH0gj_fa/,Instagram画像,,通算,5925,6340,49,6,9,0,43
17954850087035050,17841478326496503,eggrypto_official,エグリプト公式,"🎮 エグリプトってこんなゲーム！

タマゴをタップしたり。
モンスターを育成したり。
バトルしたり。
NFTモンスターをゲットしたり!?

スキマ時間でゆるく楽しめる。

あなただけのモンスターたちを集めよう。

#エグリプト #EGGRYPTO #モンスター育成 #NFTゲーム #スマホゲーム #スキマ時間 #かわいいゲーム #ゲーム紹介 #アプリ紹介 #おすすめゲーム #ゲーム好きと繋がりたい #RPG好き #カジュアルゲーム #ゲーム女子 #ゲーム男子 #ゲームアプリ #無料ゲーム #新作ゲーム #ファンタジーゲーム #スマホRPG #モンスターゲーム",17,"11/13/2025 19:17",https://www.instagram.com/reel/DRBX8ktD5wC/,IGリール動画,,通算,243,198,5,0,1,0,4
18386418868182660,17841478326496503,eggrypto_official,エグリプト公式,"エグリプトのモンスターをご紹介！

「シン・グラビ＆アイラ」

・闇属性
・星5モンスター

お気に入りのモンスターをコレクションしたり、
育成してバトルができます！

あなたはこのモンスター知ってましたか？
ぜひ気軽にコメントで教えてください👇

#エグリプト #EGGRYPTO #NFTゲーム #NFTGame #ブロックチェーンゲーム
#スマホゲーム #ゲーム #game #ゲームアプリ
#育成ゲーム #モンスター育成 #キャラ紹介
#キャラクター #キャラクターデザイン
#かわいい #かわいいキャラ #ゆるキャラ
#ゲーム好き #ゲーム好きと繋がりたい #スマホゲーム好き
#モンスターコレクション #collectibles
#animegame #mobilegame #JapanGames",12,"11/28/2025 00:41",https://www.instagram.com/reel/DRlv4W_D2jO/,IGリール動画,,通算,897,811,9,6,1,0,5
18108514852627581,17841478326496503,eggrypto_official,エグリプト公式,"エグリプトのモンスターをご紹介！

「天獣イナバ」

・火属性
・星5モンスター

お気に入りのモンスターをコレクションしたり、
育成してバトルができます！

あなたはこのモンスター知ってましたか？
ぜひ気軽にコメントで教えてください👇

#エグリプト #EGGRYPTO #NFTゲーム #NFTGame #ブロックチェーンゲーム
#スマホゲーム #ゲーム #game #ゲームアプリ
#育成ゲーム #モンスター育成 #キャラ紹介
#キャラクター #キャラクターデザイン
#かわいい #かわいいキャラ #ゆるキャラ
#ゲーム好き #ゲーム好きと繋がりたい #スマホゲーム好き
#モンスターコレクション #collectibles
#animegame #mobilegame #JapanGames",12,"12/01/2025 00:11",https://www.instagram.com/reel/DRtqpfOjz1J/,IGリール動画,,通算,478,419,7,0,0,0,1
18105783292636719,17841478326496503,eggrypto_official,エグリプト公式,"エグリプトのモンスターをご紹介！

「天獣コハク」

・水属性
・星5モンスター

お気に入りのモンスターをコレクションしたり、
育成してバトルができます！

あなたはこのモンスター知ってましたか？
ぜひ気軽にコメントで教えてください👇

#エグリプト #EGGRYPTO #NFTゲーム #NFTGame #ブロックチェーンゲーム
#スマホゲーム #ゲーム #game #ゲームアプリ
#育成ゲーム #モンスター育成 #キャラ紹介
#キャラクター #キャラクターデザイン
#かわいい #かわいいキャラ #ゆるキャラ
#ゲーム好き #ゲーム好きと繋がりたい #スマホゲーム好き
#モンスターコレクション #collectibles
#animegame #mobilegame #JapanGames",12,"12/02/2025 21:51",https://www.instagram.com/reel/DRykv2FD_3Z/,IGリール動画,,通算,908,762,12,0,2,0,7
18341077843224993,17841478326496503,eggrypto_official,エグリプト公式,"エグリプトのモンスターをご紹介！

「ツキノオルタ」

・草属性
・星5モンスター

お気に入りのモンスターをコレクションしたり、
育成してバトルができます！

あなたはこのモンスター知ってましたか？
ぜひ気軽にコメントで教えてください👇

#エグリプト #EGGRYPTO #NFTゲーム #NFTGame #ブロックチェーンゲーム
#スマホゲーム #ゲーム #game #ゲームアプリ
#育成ゲーム #モンスター育成 #キャラ紹介
#キャラクター #キャラクターデザイン
#かわいい #かわいいキャラ #ゆるキャラ
#ゲーム好き #ゲーム好きと繋がりたい #スマホゲーム好き
#モンスターコレクション #collectibles
#animegame #mobilegame #JapanGames",12,"12/08/2025 00:56",https://www.instagram.com/reel/DR_x3jJj21E/,IGリール動画,,通算,2711,2392,20,0,2,0,9
18056412920652477,17841478326496503,eggrypto_official,エグリプト公式,"エグリプトのモンスターをご紹介！

「アスター」

・光属性
・星5モンスター

お気に入りのモンスターをコレクションしたり、
育成してバトルができます！

あなたはこのモンスター知ってましたか？
ぜひ気軽にコメントで教えてください👇

#エグリプト #EGGRYPTO #NFTゲーム #NFTGame #ブロックチェーンゲーム
#スマホゲーム #ゲーム #game #ゲームアプリ
#育成ゲーム #モンスター育成 #キャラ紹介
#キャラクター #キャラクターデザイン
#かわいい #かわいいキャラ #ゆるキャラ
#ゲーム好き #ゲーム好きと繋がりたい #スマホゲーム好き
#モンスターコレクション #collectibles
#animegame #mobilegame #JapanGames",12,"12/12/2025 00:14",https://www.instagram.com/reel/DSJ-eG6D26q/,IGリール動画,,通算,594,533,7,0,1,0,1
17954556468043417,17841478326496503,eggrypto_official,エグリプト公式,"エグリプトのモンスターをご紹介！

「エマ」
「オニヒメ＆ヒューヒュー」
「ミライ」

お気に入りのモンスターをコレクションしたり、
育成してバトルができます！

あなたはこのモンスター知ってましたか？
ぜひ気軽にコメントで教えてください👇

#エグリプト #EGGRYPTO #NFTゲーム #NFTGame #ブロックチェーンゲーム
#スマホゲーム #ゲーム #game #ゲームアプリ
#育成ゲーム #モンスター育成 #キャラ紹介
#キャラクター #キャラクターデザイン
#かわいい #かわいいキャラ #ゆるキャラ
#ゲーム好き #ゲーム好きと繋がりたい #スマホゲーム好き
#モンスターコレクション #collectibles
#animegame #mobilegame #JapanGames",15,"12/15/2025 00:27",https://www.instagram.com/reel/DSRv77jj94B/,IGリール動画,,通算,550,441,5,1,0,0,7
17843388327641573,17841478326496503,eggrypto_official,エグリプト公式,"エグリプトのモンスターをご紹介！

「ラプンツェル」
「十二神リンネ」
「キングカーバンクル」

お気に入りのモンスターをコレクションしたり、
育成してバトルができます！

あなたはこのモンスター知ってましたか？
ぜひ気軽にコメントで教えてください👇

#エグリプト #EGGRYPTO #NFTゲーム #NFTGame #ブロックチェーンゲーム
#スマホゲーム #ゲーム #game #ゲームアプリ
#育成ゲーム #モンスター育成 #キャラ紹介
#キャラクター #キャラクターデザイン
#かわいい #かわいいキャラ #ゆるキャラ
#ゲーム好き #ゲーム好きと繋がりたい #スマホゲーム好き
#モンスターコレクション #collectibles
#animegame #mobilegame #JapanGames",15,"12/17/2025 19:23",https://www.instagram.com/reel/DSY7DuYj2wp/,IGリール動画,,通算,493,402,8,0,0,0,4
